spot_num,spot_nm,grs80tm_x,grs80tm_y
B-20,오리로(광명시계),186105,442593
B-21,개봉로(개봉교),187302.087526,443031.264703
B-22,광명대교(광명시계),188799.726093,442845.631707
B-23,철산교(광명시계),189248.578812,441676.103787
B-24,금천교(광명시계),189776.878856,440585.948941
B-25,금하로(광명시계),190423.225984,439111.924802
B-26,오정로(부천시계),183158.839363,449254.914663
B-27,화곡로(화곡로입구),184478,448880
B-28,경인고속국도(신월IC),185181,447307
B-29,경인로(유한공고),184313.594374,443266.257648
B-30,신정로(작동터널),184448,445203
B-31,김포대로(개화교),181967.262021,454014.878725
B-32,올림픽대로(개화IC),183484,454270
B-33,통일로(고양시계),191766.010683,460807.999962
B-34,서오릉로(고양시계),191705.649189,457593.577066
B-35,수색로(고양시계),189971.537695,454250.346428
B-36,강변북로(난지한강공원),188739,452378
B-37,강변북로(구리시계),210360,451547
B-38,동부간선도로(상도지하차도),204627,464758
C-01,행주대교,183194,455379
C-02,월드컵대교,189882,450789
C-03,가양대교,187636,452084
C-04,성산대교,190385,450291
C-05,양화대교,191513,449316
C-06,서강대교,193396,448653
C-07,마포대교,194380,448236
C-08,원효대교,195164,447478
C-09,한강대교,196388,446508
C-10,동작대교,198378,445569
C-11,반포대교,199675,446138
C-12,잠수교,200000.318299,445351.121605
C-13,한남대교,201149,447494
C-14,동호대교,201721,448748
C-15,성수대교,203083,448599
C-16,영동대교,205070,447872
C-17,청담대교,205655,447331
C-18,잠실대교,208104,447180
C-19,올림픽대교,209189,448263
C-20,천호대교,209958,449248
C-21,광진교,210180,449414
D-01,진흥로(구기터널),195995.937882,456587.128855
D-02,평창문화로(북악터널),198182.233352,456877.108256
D-03,동호로(금호터널),201186.751155,450249.111193
D-04,서빙고로(한남역),200406,447518
D-05,천호대로(군자교),206060.199166,451252.982968
D-06,뚝섬로(용비교),201813,449171
D-07,동일로(군자교),206209,450406
D-08,화랑로(상월곡역),203909.428342,456019.24139
D-09,동소문로(길음교사거리),201917.236433,455587.648946
D-10,화랑로(화랑대역),207303,457807
D-11,도봉로(쌍문역),202948.26258,460673.661905
D-12,동부간선도로(월계1교),205657,459221
D-13,동일로(노원역),205351.935482,461419.376043
D-14,증산로(디지털미디어시티역),191636.082633,453367.561257
D-15,통일로(산골고개정류장),194715.094302,455036.774946
D-16,성산로(연희IC),193927.891848,451496.144797
D-17,연희로(연희IC),193843,451835
D-18,남부순환로(화곡로입구 교차로),184602.679141,448970.936037
D-19,남부순환로(신월IC),185530.224904,447181.128972
D-20,강서로(화곡터널),186308.326778,448340.978859
D-21,공항대로(발산역),184968.601439,451095.373329
D-22,경인로(오류IC),186824.044955,444345.153361
D-23,경인로(거리공원입구교차로),189772.781932,445222.568696
D-24,시흥대로(시흥IC),191019.546672,441943.160289
D-25,영등포로(오목교),189699.279303,447078.182443
D-26,시흥대로(구로디지털단지역),191536.496961,443062.487406
D-27,제물포길(여의2교),192081.671803,447371.898454
D-28,경인로(서울교),192513.359359,446774.318707
D-29,여의대방로(여의교),193620.717018,446401.753982
D-30,양녕로(상도터널),195876.010078,445710.321701
D-31,동작대로(총신대입구역),198482,443886
D-32,문성로(난곡터널),193301.868134,442185.848969
D-33,남부순환로(낙성대역),196671.683132,442047.207145
D-34,남부순환로(예술의전당),200369.30044,441902.72279
D-35,강남대로(강남역-신분당),202677,443638
D-36,사평대로(고속터미널역),200691.392481,444896.469303
D-37,반포대로(서초역),200494,444089
D-38,언주로(매봉터널),204198.714027,443664.32288
D-39,남부순환로(수서IC),208147.683326,444008.403275
D-40,헌릉로(세곡동사거리),209322.895518,440609.887336
D-41,노들로(여의하류IC),191978,447806
D-42,테헤란로(선릉역),204611.157854,445158.415941
D-43,강남대로(신사역),201776,446166
D-44,백제고분로(종합운동장),206930,445752
D-45,송파대로(송파역),210778,443092
D-46,서부간선도로,189560,446828
F-01,올림픽대로,197646,445188
F-02,강변북로,197729,446395
F-03,내부순환로,199911,456580
F-04,북부간선로,204649,456550
F-05,동부간선도로,207000,452742
F-06,경부고속도로,202107,443264
F-07,분당수서로,207716,444241
F-08,강남순환로(관악터널),191832,437667
F-09,서부간선지하도로,189706,441044
F-10,신월여의지하도로,187350,447719
